Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
1/10/17,弱虫ペダル NEW GENERATION,トムス・エンタテインメント,TX,25,20,18
1/10/17,鬼平,スタジオM2,TX,13,2,2
1/10/17,ACCA13区監察課,マッドハウス,TOKYO MX、BS11ほか,12,10,10
1/11/17,ハンドシェイカー,GoHands,TOKYO MX、MBSほか,12,8,8
1/11/17,けものフレンズ,ヤオヨロズ,TX,12,7,7
1/11/17,ピアシェ 〜私のイタリアン〜,ゼロジー,TOKYO MX、サンテレビ,12,14,13
1/11/17,One Room,颱風グラフィックス,TOKYO MX、サンテレビ,12,8,7
1/11/17,CHAOS;CHILD,SILVER LINK.,AT-X、独立局,12,11,11
1/12/17,小林さんちのメイドラゴン,京都アニメーション,TOKYO MX、ABCほか,13,12,12
1/12/17,この素晴らしい世界に祝福を!2,スタジオディーン,独立局,10,15,15
1/12/17,SUPER LOVERS 2,スタジオディーン,TOKYO MX、AT-Xほか,10,14,12
1/12/17,MARGINAL#4 KISSから創造るBig Bang,J.C.STAFF,TOKYO MXほか,12,28,26
1/13/17,クズの本懐,Lerche,CX,12,5,5
1/14/17,Rewrite（第2期）,エイトビット,TOKYO MX、BS11、MBSほか,11,12,12
1/15/17,戦国鳥獣戯画〜乙〜,ILCA,KBC、tvkほか,13,9,9
1/15/17,闇芝居（第4期）,ILCA,TX,13,8,8
1/21/17,BanG Dream!,ISSEN、XEBEC,TOKYO MXほか,13,11,10
1/23/17,がんがんがんこちゃん（第1期）,10GAUGE,NHK BSプレミアム,10,15,15
2/5/17,キラキラ☆プリキュアアラモード,東映アニメーション,ABC,49,15,15
2/26/17,ピカイア!!,OLM,NHK Eテレ,13,6,6
3/10/17,ぶっぷな毎日,勝鬨スタジオ,KTV、TOKYO MX,50,6,6
3/25/17,僕のヒーローアカデミア（第2期）,ボンズ,YTV,25,16,16
4/1/17,フューチャーカード バディファイトX,OLM、XEBEC,TVA,52,18,17
4/1/17,進撃の巨人 Season 2,WIT STUDIO,MBS、独立局,12,14,12
4/2/17,GRANBLUE FANTASY The Animation,A-1 Pictures,TOKYO MXほか,13,30,27
4/2/17,デュエル・マスターズ（2017年）,アセンション、小学館ミュージック&デジタル エンタテイメント,TX,51,17,17
4/2/17,ふるさとめぐり 日本の昔ばなし,トマソン,TX,50,15,14
4/2/17,ワールドフールニュース PARTII,コミックス・ウェーブ・フィルム,GTV,12,18,17
4/2/17,アリスと蔵六,J.C.STAFF,TOKYO MX、BS11ほか,12,6,6
